Title,Year,Certificate,Rating
"Love, Rosie",2012.0,UA,7.1
Lincoln,2012.0,U,7.3
Mona Lisa Smile,2012.0,UA,6.5
Hairspray,2012.0,U,6.7
47 Ronin,2012.0,UA,6.2
Robots,2012.0,U,6.4
"I, Robot",2012.0,UA,7.1
Tillu Square,2012.0,none,6.8
Street Kings,2012.0,R,6.8
Security,2012.0,R,5.7
Trainwreck,2012.0,16,6.2
Geostorm,2012.0,UA,5.3
Enter the Void,2012.0,A,7.2
The Dictator,2012.0,18,6.4
Eastern Promises,2012.0,R,7.6
Akinjeon,2012.0,Not Rated,6.9
Kingpin,2012.0,UA,6.9
Five Feet Apart,2012.0,UA,7.2
Before the Devil Knows You're Dead,1999.0,R,7.3
Jason Bourne,1999.0,UA,6.6
The Doors,1999.0,U,7.2
Le salaire de la peur,1999.0,none,4.5
The Babadook,1999.0,A,6.8
Stopmotion,1999.0,R,5.5
Jungle Cruise,1999.0,UA,6.6
Porky's,1999.0,none,6.2
Wanderlust,1999.0,18,5.6
The Poughkeepsie Tapes,1999.0,R,6.0
Role Models,1999.0,UA,6.8
Koe no katachi,1999.0,16,8.1
Insurgent,1999.0,UA,6.2
Magic Mike,1999.0,R,6.1
The Hitchhiker's Guide to the Galaxy,1999.0,PG,6.7
Ocean's Twelve,1999.0,UA,6.5
The Man from Earth,1999.0,none,7.8
Justice League,1999.0,UA,6.1
Orion and the Dark,1999.0,none,6.3
Ad Astra,1999.0,12+,6.5
Maximum Overdrive,1999.0,A,5.4
Captain Phillips,1999.0,UA,7.8
Fast Five,1999.0,UA,7.3
Power Rangers,1999.0,UA,5.9
Sleepy Hollow,1999.0,UA,7.3
Die Another Day,1999.0,A,6.1
The Magnificent Seven,1999.0,none,7.7
Catching Fire: The Story of Anita Pallenberg,1999.0,none,7.3
The Mighty Ducks,1999.0,PG,6.6
Endless Love,1999.0,A,4.9
Heavenly Creatures,1999.0,UA,7.3
Teenage Mutant Ninja Turtles,1999.0,15+,5.8
The Insider,1999.0,UA,7.8
Hot Tub Time Machine,1999.0,R,6.4
Inherent Vice,1999.0,UA,6.6
Sanctuary,1999.0,R,6.3
Forgetting Sarah Marshall,1999.0,UA,7.1
3:10 to Yuma,1999.0,A,7.6
The Twilight Saga: New Moon,1999.0,UA,4.8
57 Seconds,1999.0,R,5.4
Funny Games,1999.0,Not Rated,7.5
El secreto de sus ojos,1999.0,R,8.2
Now You See Me 2,1999.0,UA,6.4
Angels & Demons,1999.0,A,6.7
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1999.0,A,7.4
Shazam! Fury of the Gods,1999.0,UA,5.9
Match Point,1999.0,R,7.6
Wreck-It Ralph,1999.0,U,7.7
The Ides of March,2021.0,A,7.1
What Happened to Monday,2021.0,A,6.8
Haunted Mansion,2021.0,PG-13,6.0
Demolition Man,2021.0,A,6.7
Brightburn,2021.0,A,6.1
The Descendants,2021.0,A,7.3
Rope,2021.0,A,7.9
Belfast,2021.0,PG-13,7.2
Sabari,2021.0,UA,8.2
Blockers,2021.0,Not Rated,6.2
Bombshell,2021.0,A,6.8
Doraibu mai kâ,2021.0,none,7.5
The Boondock Saints,2021.0,A,7.6
Live Free or Die Hard,2021.0,UA,7.1
Freaky Friday,2021.0,U,6.3
Summer School,2021.0,U,6.6
Hotel Transylvania,2021.0,UA,7.0
Zoolander,2021.0,UA,6.5
Adoration,2021.0,R,6.2
Desperado,2021.0,A,7.1
Dunki,2021.0,UA,6.6
A Bigger Splash,2021.0,R,6.4
"Honey, I Shrunk the Kids",2021.0,U,6.4
Black Lotus,2021.0,none,4.2
The Craft: Legacy,2021.0,UA,4.6
The Highwaymen,2021.0,16,6.9
Burn After Reading,2021.0,R,7.0
Fantastic Beasts: The Crimes of Grindelwald,2021.0,UA,6.5
Snow White and the Seven Dwarfs,2021.0,U,7.6
I See You,2021.0,R,6.8
Exodus: Gods and Kings,2021.0,UA,6.0
Crimes of the Future,2021.0,R,5.8
Resident Evil: Welcome to Raccoon City,2021.0,A,5.2
Romancing the Stone,2021.0,U,6.9
Stalker,2021.0,U,8.1
Quantum of Solace,2021.0,UA,6.5
Child's Play,2021.0,UA,6.7
The Book of Clarence,2021.0,PG-13,5.6
La haine,2021.0,Not Rated,8.1
Charlie's Angels,2021.0,UA,5.0
Ladybugs,2021.0,PG-13,5.5
Oldboy,2021.0,A,5.8
The Outpost,2021.0,A,6.8
The Legend of Tarzan,2021.0,UA,6.2
Chillerama,2021.0,none,5.6
Snowden,2021.0,18,7.3
The Wall,2021.0,R,6.2
The Theory of Everything,2021.0,U,7.7
Poltergeist,1965.0,A,4.9
Pig,1965.0,R,6.9
300: Rise of an Empire,1965.0,R,6.2
Forever My Girl,1965.0,PG,6.6
Mannequin,1965.0,PG,6.0
AVP: Alien vs. Predator,1965.0,UA,5.7
I'm Thinking of Ending Things,1965.0,16,6.6
Sky High,1965.0,U,6.3
Dallas Buyers Club,1965.0,R,7.9
Moon,1965.0,R,7.8
Evil Dead,1965.0,A,6.5
He's Just Not That Into You,1965.0,13,6.4
Megamind,1965.0,U,7.3
Homefront,1965.0,18,6.5
Bride Wars,1965.0,UA,5.5
Downsizing,1965.0,A,5.8
A History of Violence,1965.0,UA,7.4
Cars 3,1965.0,U,6.7
Warcraft,1965.0,UA,6.7
9,1965.0,PG-13,7.0
The Farm,1965.0,none,3.7
Wonderland,1965.0,R,6.5
Pitch Black,1965.0,UA,7.0
The Book Thief,1965.0,PG-13,7.5
Retribution,1965.0,R,5.3
Real Steel,1965.0,UA,7.1
The Expendables 3,1965.0,UA,6.1
Anna Karenina,1965.0,18,6.6
O2,1965.0,none,8.9
Something Borrowed,1965.0,PG-13,5.8
The Royal Tenenbaums,1965.0,A,7.6
Small Things Like These,1965.0,none,7.3
The Untouchables,1965.0,A,7.8
The Liquidator,1965.0,none,5.9
Håndtering av udøde,1965.0,none,5.9
The Master,1965.0,A,7.1
Scream 4,1965.0,A,6.2
Mulan,1965.0,12+,5.8
Nimona,1965.0,13,7.5
The Wedding Singer,1965.0,PG-13,6.9
Fracture,1965.0,R,7.2
Mask,1965.0,UA,7.2
Angels in the Outfield,1965.0,PG,6.2
Black Mass,1965.0,A,6.9
Freaks,1965.0,R,6.7
After We Fell,1965.0,18,4.8
A Series of Unfortunate Events,1965.0,U,6.8
Allied,1965.0,18,7.1
Insomnia,1965.0,UA,7.2
Shark Tale,1965.0,U,6.0
Pineapple Express,2008.0,A,6.9
But I'm a Cheerleader,2008.0,R,6.8
The Dressmaker,2008.0,R,7.0
Cool Hand Luke,2008.0,U,8.1
The Other Zoey,2008.0,PG-13,5.9
Leaving Las Vegas,2008.0,A,7.5
Red Right Hand,2008.0,none,5.4
Lars and the Real Girl,2008.0,PG-13,7.3
Hansel & Gretel: Witch Hunters,2008.0,A,6.1
Hunter Killer,2008.0,UA,6.6
Paradise,2008.0,Not Rated,4.9
Furious 6,2008.0,UA,7.0
Allegiant,2008.0,13,5.7
Twins,2008.0,U,6.2
Unhinged,2008.0,A,6.0
Into the Woods,2008.0,PG,5.9
Tron,2008.0,U,6.7
High Plains Drifter,2008.0,A,7.4
Anastasia,2008.0,none,7.1
Slither,2008.0,A,6.5
The Out-Laws,2008.0,A,5.4
The Prince of Tides,2008.0,A,6.8
He's All That,2008.0,13,4.4
Midway,2008.0,A,6.7
Little Shop of Horrors,2008.0,UA,7.1
Robin Hood,2008.0,UA,5.3
Fractured,2008.0,16,6.5
Payback,2008.0,A,7.1
Ghost Ship,2008.0,A,5.6
Tár,2008.0,A,7.4
Revolutionary Road,2008.0,16,7.3
The Hurt Locker,2008.0,A,7.5
Rookie of the Year,2008.0,PG,6.1
Girls on Film,2008.0,none,4.6
House of 1000 Corpses,2008.0,A,6.0
Mud,2008.0,UA,7.4
Mercury Rising,2008.0,U,6.1
St. Elmo's Fire,2008.0,U,6.4
The Firm,2008.0,UA,6.9
Big Jake,2008.0,PG-13,7.1
Scary Movie 2,2008.0,15+,5.3
Downton Abbey,2008.0,UA,7.4
Absolutely Anything,2008.0,UA,6.0
Den of Thieves,2008.0,A,7.0
Saturday Night Fever,2008.0,R,6.8
Roman Holiday,2008.0,U,8.0
Scream 2,2008.0,UA,6.3
Pride,2008.0,R,7.8
Origin,2024.0,PG-13,7.2
Funny Face,2024.0,U,7.0
My Best Friend's Wedding,2024.0,UA,6.3
Mechanic: Resurrection,2024.0,UA,5.7
True Grit,2024.0,U,7.4
Bee Movie,2024.0,U,6.1
The Way Back,2024.0,R,6.7
Miss Congeniality,2024.0,A,6.3
The Three Musketeers,2024.0,U,6.4
Bramayugam,2024.0,UA,7.9
Swiss Army Man,2024.0,R,6.9
Bumblebee,2024.0,UA,6.7
Intimacy,2024.0,R,6.0
Frozen II,2024.0,U,6.8
Hellraiser,2024.0,A,6.9
One Shot,2024.0,none,5.6
Tra(sgre)dire,2024.0,none,5.4
The Choice,2024.0,UA,6.5
Hotel Mumbai,2024.0,A,7.6
Real Genius,2024.0,none,6.9
Spy Kids 3: Game Over,2024.0,U,4.4
Midnight Cowboy,2024.0,A,7.8
Anaconda,2024.0,A,4.9
Knight and Day,2024.0,UA,6.3
Haunting of the Queen Mary,2024.0,none,4.1
Thirteen Lives,2024.0,UA 16+,7.8
Hellraiser,2024.0,R,5.9
Ella Enchanted,2024.0,U,6.3
Deja Vu,2024.0,UA,7.1
Red Dawn,2024.0,U,6.3
Lethal Weapon,2024.0,UA,7.6
Going in Style,2024.0,A,6.6
Lazareth,2024.0,none,4.2
The Empty Man,2024.0,18,6.2
BlacKkKlansman,2024.0,18,7.5
Thir13en Ghosts,2024.0,A,5.6
Angels in the Outfield,2024.0,none,7.1
Mysterious Skin,2024.0,Unrated,7.6
Mea Culpa,2024.0,R,4.2
The Conjuring: The Devil Made Me Do It,2024.0,A,6.3
Charade,2024.0,U,7.8
The Old Oak,2024.0,none,7.1
9 Songs,2024.0,15+,4.7
Self Reliance,2024.0,R,6.1
Central Intelligence,2024.0,UA,6.3
Gekijouban Jujutsu Kaisen 0,2024.0,U,7.8
Case 39,2024.0,UA,6.2
High Fidelity,2024.0,R,7.4
Tee Yod,2024.0,none,5.9
The Hating Game,2020.0,A,6.2
22 Jump Street,2020.0,A,7.0
Hostiles,2020.0,A,7.2
Alvin and the Chipmunks,2020.0,U,5.2
Red Dragon,2020.0,A,7.2
Out of Sight,2020.0,UA,7.0
This Is Spinal Tap,2020.0,none,7.9
Don't Tell Mom the Babysitter's Dead,2020.0,none,6.3
Revenge,2020.0,18,6.4
Sight,2020.0,PG-13,7.8
Akira,2020.0,Not Rated,8.0
Jack Reacher: Never Go Back,2020.0,UA,6.1
The Book of Eli,2020.0,A,6.8
Joy Ride,2020.0,R,6.6
M - Eine Stadt sucht einen Mörder,2020.0,none,8.3
Do Revenge,2020.0,A,6.3
To All the Boys I've Loved Before,2020.0,13,7.0
Rocky IV,2020.0,U,6.9
Gremlins,2020.0,UA,7.3
Grave,2020.0,A,7.0
The Expendables,2020.0,A,6.4
I Am Number Four,2020.0,UA,6.1
Heojil kyolshim,2020.0,18,7.3
Phantom Thread,2020.0,UA,7.4
Treasure,2020.0,R,6.7
Foe,2020.0,R,5.4
The First Wives Club,2020.0,UA,6.4
Deadly Blessing,2020.0,none,5.5
The Ninth Gate,2020.0,UA,6.7
Serenity,2020.0,R,5.4
Evil Under the Sun,2020.0,UA,7.0
Nomadland,2020.0,UA,7.3
London Fields,2020.0,18,3.9
Private School,2020.0,A,5.2
Shallow Hal,2020.0,UA,6.0
Dick Tracy,2020.0,U,6.2
Road to Perdition,2020.0,A,7.7
Pokémon: Detective Pikachu,2020.0,UA,6.5
Memory,2020.0,R,6.6
My Big Fat Greek Wedding,2020.0,U,6.6
Mr. Nobody,2020.0,R,7.7
Rock of Ages,2020.0,A,5.9
Pain & Gain,2020.0,15+,6.4
The Elephant Man,2020.0,UA,8.2
Zombieland: Double Tap,2020.0,A,6.7
Cloudy with a Chance of Meatballs,2020.0,U,6.9
Shazam!,2020.0,UA,7.0
Benedetta,2020.0,none,6.7
Jarhead,2015.0,15+,7.0
Top Secret!,2015.0,UA,7.2
Atlantis: The Lost Empire,2015.0,U,6.9
The Woman King,2015.0,UA,6.9
Men in Black³,2015.0,UA,6.8
Voyagers,2015.0,UA,5.5
The Rundown,2015.0,U,6.7
The Blind Side,2015.0,UA,7.6
Marrowbone,2015.0,R,6.7
Sound of Metal,2015.0,18,7.7
Freddy vs. Jason,2015.0,A,5.7
The Basketball Diaries,2015.0,UA,7.3
Cocoon,2015.0,U,6.7
A Big Hand for the Little Lady,2015.0,none,7.3
The Italian Job,2015.0,UA,7.0
The Mummy: Tomb of the Dragon Emperor,2015.0,UA,5.2
The Family,2015.0,A,6.3
Wifelike,2015.0,R,4.9
Knights of the Zodiac,2015.0,PG-13,4.4
Dr. No,2015.0,A,7.2
Layer Cake,2015.0,UA,7.3
Risky Business,2015.0,UA,6.8
Kôkaku kidôtai,2015.0,UA,7.9
The Room,2015.0,UA,3.6
Lara Croft: Tomb Raider,2015.0,U,5.8
Dragonslayer,2015.0,U,6.6
The Joy Luck Club,2015.0,Not Rated,7.7
Addams Family Values,2015.0,UA,6.8
Burlesque,2015.0,UA,6.4
Grandma's Boy,2015.0,R,6.9
127 Hours,2015.0,UA,7.5
Straight Outta Compton,2015.0,R,7.8
Lost Highway,2015.0,A,7.6
Fantastic Four,2015.0,UA,5.7
Jack,2015.0,PG-13,5.8
Kalifornia,2015.0,R,6.7
The Twilight Saga: Breaking Dawn - Part 1,2015.0,A,4.9
Me and Earl and the Dying Girl,2015.0,PG-13,7.7
Cats,2015.0,UA,2.8
The Man in the Iron Mask,2015.0,A,6.5
Meet the Fockers,2015.0,A,6.3
Vanishing Point,2015.0,U,7.2
Over the Hedge,2015.0,U,6.7
The Number 23,2015.0,UA,6.4
Disobedience,2015.0,All,6.6
Alexander,2015.0,UA,5.6
Moonrise Kingdom,2016.0,A,7.8
"Good Morning, Vietnam",2016.0,U,7.3
Cry-Baby,2016.0,U,6.5
Kiss the Future,2016.0,none,7.4
The Bad News Bears,2016.0,U,7.3
The 5th Wave,2016.0,UA,5.2
The Vow,2016.0,UA,6.8
Major League II,2016.0,PG,5.6
Wild at Heart,2016.0,A,7.2
PAW Patrol: The Mighty Movie,2016.0,PG,5.9
Freaky,2016.0,R,6.3
The Lizzie McGuire Movie,2016.0,U,5.5
Snow White and the Huntsman,2016.0,UA,6.1
Teen Wolf Too,2016.0,none,3.4
Rango,2016.0,U,7.3
Once Upon a Deadpool,2016.0,none,7.5
Låt den rätte komma in,2016.0,R,7.8
The Interview,2016.0,UA,6.5
Urban Cowboy,2016.0,U,6.4
"Ruby Gillman, Teenage Kraken",2016.0,U,5.7
Plein soleil,2016.0,PG-13,7.7
The Fall,2016.0,R,7.8
Singin' in the Rain,2016.0,G,8.3
Morbius,2016.0,UA,5.1
WarGames,2016.0,U,7.1
What Dreams May Come,2016.0,PG-13,7.0
The Mask of Zorro,2016.0,UA,6.8
Say Anything...,2016.0,U,7.3
The Mitchells vs the Machines,2016.0,13,7.6
The Island,2016.0,UA,6.8
365 Days: This Day,2016.0,A,2.7
Handsome Devil,2016.0,none,7.0
Independence Day: Resurgence,2016.0,UA,5.2
The Killing Fields,2016.0,A,7.8
The Sweet East,2016.0,none,6.5
Senior Year,2016.0,A,5.5
We're All Going to the World's Fair,2016.0,none,5.4
[Rec],2016.0,A,7.4
Coup de chance,2016.0,PG-13,6.4
Marriage Story,2016.0,U,7.9
Suncoast,2016.0,R,6.6
Smokin' Aces,2016.0,R,6.6
Oz the Great and Powerful,2016.0,UA,6.3
Ocean's Thirteen,2016.0,UA,6.9
Tank Girl,2016.0,R,5.4
Random Harvest,2016.0,none,7.9
The Guernsey Literary and Potato Peel Pie Society,2016.0,Not Rated,7.3
Carrie,2016.0,A,5.8
Rio Lobo,2013.0,G,6.7
Code 8: Part II,2013.0,none,5.7
The Hot Spot,2013.0,UA,6.4
White Heat,2013.0,none,8.1
Burnt,2013.0,Not Rated,6.6
Indiana Jones and the Kingdom of the Crystal Skull,2013.0,U,6.2
Titane,2013.0,A,6.5
The Piano,2013.0,Not Rated,7.5
The Jungle Book,2013.0,U,7.6
Sister Act,2013.0,U,6.5
Tommy Boy,2013.0,U,7.1
Ted 2,2013.0,A,6.3
"Me, Myself & Irene",2013.0,A,6.6
Akelli,2013.0,none,6.1
The Wrecking Crew,2013.0,PG,5.4
Speed Racer,2013.0,U,6.1
Summer Rental,2013.0,U,6.3
Escape from Alcatraz,2013.0,U,7.6
The Stranger,2013.0,none,6.6
Death Spa,2013.0,none,5.2
Significant Other,2013.0,R,5.7
Planet Terror,2013.0,A,7.0
Funny Games,2013.0,R,6.5
The Unforgivable,2013.0,18,7.1
Mr. Deeds,2013.0,U,5.8
The Terminal,2013.0,U,7.4
The Toxic Avenger,2013.0,R,5.9
Crawl,2013.0,A,6.1
Blacklight,2013.0,PG-13,4.8
Insidious: The Red Door,2013.0,A,5.5
Downtown Owl,2013.0,R,4.8
Texas Chainsaw 3D,2013.0,A,4.8
The Finest Hours,2013.0,U,6.7
Enemy at the Gates,2013.0,A,7.5
Bridge of Spies,2013.0,UA,7.6
Disturbia,2013.0,A,6.8
Locked In,2013.0,none,5.1
Gandhi,2013.0,U,8.0
Drive Angry,2013.0,A,5.4
Hardcore,2013.0,none,7.0
Airport '77,2013.0,U,5.8
3 Idiots,2013.0,UA,8.4
God Is a Bullet,2013.0,none,5.7
Prince of Persia: The Sands of Time,2013.0,UA,6.6
Fast Charlie,2013.0,none,6.0
Pitch Perfect 2,2013.0,UA,6.4
Inheritance,2013.0,none,3.5
I Care a Lot,2013.0,18,6.4
Wild,2022.0,18,7.1
The Paperboy,2022.0,R,5.7
Nosferatu,2022.0,none,7.9
Wij,2022.0,none,5.6
Girlhouse,2022.0,none,5.5
Much Ado About Nothing,2022.0,U,7.3
"Definitely, Maybe",2022.0,UA,7.1
Red Rocket,2022.0,R,7.1
Hell Comes to Frogtown,2022.0,none,5.5
Can't Buy Me Love,2022.0,U,6.8
Blow,2022.0,R,7.5
Young Guns,2022.0,UA,6.8
Carol,2022.0,18,7.3
Sin City: A Dame to Kill For,2022.0,A,6.5
Easy Rider,2022.0,A,7.2
Hocus Pocus,2022.0,U,6.9
Per qualche dollaro in più,2022.0,U,8.2
Demolition,2022.0,16,7.0
Kiss Kiss Bang Bang,2022.0,UA,7.5
Indecent Proposal,2022.0,A,6.0
Jurassic Park III,2022.0,UA,5.9
Avgrunden,2022.0,none,5.3
Sophie's Choice,2022.0,none,7.5
My Fair Lady,2022.0,U,7.7
The Trial of the Chicago 7,2022.0,18,7.7
Brimstone,2022.0,R,7.0
2 Guns,2022.0,A,6.7
12 Strong,2022.0,A,6.5
Space Jam: A New Legacy,2022.0,U,4.5
The End We Start From,2022.0,R,5.9
Donnie Brasco,2022.0,A,7.7
Beowulf,2022.0,A,6.3
Downton Abbey: A New Era,2022.0,UA,7.4
The Lorax,2022.0,U,6.4
Before Sunset,2022.0,A,8.1
Meatballs,2022.0,U,6.2
Under the Tuscan Sun,2022.0,PG-13,6.7
Zwartboek,2022.0,A,7.7
1408,2022.0,A,6.8
Drag Me to Hell,2022.0,Not Rated,6.6
The Brown Bunny,2022.0,none,4.9
The Losers,2022.0,A,6.2
The Bourne Ultimatum,2022.0,UA,8.0
Hard Candy,2022.0,A,7.0
Nowhere Special,2022.0,none,7.4
21,2022.0,18,6.8
Pocahontas,2022.0,U,6.7
The World Is Not Enough,2022.0,A,6.4
RoboCop 2,2022.0,A,5.8
The Tree of Life,1999.0,UA,6.8
Hitman's Wife's Bodyguard,1999.0,A,6.1
Tumbbad,1999.0,A,8.2
Better Watch Out,1999.0,R,6.5
xXx: Return of Xander Cage,1999.0,UA,5.2
The Boogeyman,1999.0,A,5.9
The Fighter,1999.0,UA,7.8
A Cure for Wellness,1999.0,R,6.4
The Brady Bunch Movie,1999.0,PG-13,6.2
101 Dalmatians,1999.0,All,5.7
Rambo,1999.0,A,7.0
Emancipation,1999.0,A,6.2
High Noon,1999.0,U,8.0
The Land Before Time,1999.0,U,7.4
Punch-Drunk Love,1999.0,R,7.3
A Cinderella Story,1999.0,U,5.9
Dead Man's Shoes,1999.0,none,7.5
Blast from the Past,1999.0,UA,6.7
Sorcerer,1999.0,U,7.7
Days of Heaven,1999.0,none,7.7
Do the Right Thing,1999.0,U,8.0
Monamour,1999.0,none,5.2
Elysium,1999.0,A,6.6
The Searchers,1999.0,U,7.8
Spenser Confidential,1999.0,18,6.2
The Portable Door,1999.0,none,6.1
Dogville,1999.0,7,8.0
Bad Boys II,1999.0,UA,6.6
The Witches,1999.0,U,5.4
How to Train Your Dragon: The Hidden World,1999.0,U,7.4
Kalahari,1999.0,none,3.9
The Promise,1999.0,PG-13,6.1
Varsity Blues,1999.0,R,6.5
Seven Psychopaths,1999.0,R,7.1
The Huntsman: Winter's War,1999.0,UA,6.1
Back to the Future Part III,1999.0,U,7.4
Poison Ivy,1999.0,UA,5.4
On the Waterfront,1999.0,A,8.1
The Wrath of Becky,1999.0,R,6.1
Brazil,1999.0,U,7.9
The Nutty Professor,1999.0,A,5.7
Dog Day Afternoon,1999.0,U,8.0
Na srebrnym globie,1999.0,none,7.1
The Foreigner,1999.0,A,7.0
Per un pugno di dollari,1999.0,A,7.9
Suspiria,1999.0,A,7.3
London Has Fallen,1999.0,UA,5.9
The Frighteners,1999.0,UA,7.1
Wild Hogs,1999.0,PG-13,5.8
You Don't Mess with the Zohan,2025.0,PG-13,5.6
Rambo: First Blood Part II,2025.0,none,6.5
Stepmom,2025.0,U,6.8
Dirty Rotten Scoundrels,2025.0,U,7.4
The Shootist,2025.0,none,7.6
Hunt for the Wilderpeople,2025.0,UA,7.8
Boyhood,2025.0,A,7.9
The Wrong Missy,2025.0,18,5.8
City Slickers,2025.0,none,6.8
Gone in Sixty Seconds,2025.0,U,6.5
Aterrados,2025.0,none,6.5
It Comes at Night,2025.0,Not Rated,6.2
Lights Out,2025.0,R,4.8
Election,2025.0,UA,7.3
The Age of Innocence,2025.0,U,7.2
Chung Hing sam lam,2025.0,U,8.0
Ordinary People,2025.0,U,7.7
Wo hu cang long,2025.0,UA,7.9
Inland Empire,2025.0,UA,6.8
Last Shift,2025.0,A,5.8
Nothing But Trouble,2025.0,none,5.1
Family Switch,2025.0,PG,5.7
The Hunchback of Notre Dame,2025.0,U,7.0
Texas Chainsaw Massacre,2025.0,18,4.7
The Conversation,2025.0,U,7.7
Mary Poppins Returns,2025.0,U,6.7
Slyth: The Hunt Saga,2025.0,none,4.2
Det sjunde inseglet,2025.0,A,8.1
Sling Blade,2025.0,A,8.0
Queen of the Damned,2025.0,A,5.2
Peppermint,2025.0,A,6.5
The Courier,2025.0,UA,7.2
Clash of the Titans,2025.0,A,6.9
Body Heat,2025.0,18,7.4
The Return of the Living Dead,2025.0,A,7.3
Vivarium,2025.0,7,5.9
Manhunter,2025.0,A,7.2
Grease 2,2025.0,A,4.5
Unbroken,2025.0,18,7.2
Beoning,2025.0,UA,7.5
"Dude, Where's My Car?",2025.0,A,5.5
On the Line,2025.0,R,5.4
The Lego Batman Movie,2025.0,U,7.3
A Streetcar Named Desire,2025.0,A,7.9
Rambo: Last Blood,2025.0,A,6.1
Deep Blue Sea,2025.0,A,5.9
Better Off Dead...,2025.0,none,7.1
Eraserhead,2025.0,18,7.3
Police Academy 4: Citizens on Patrol,2023.0,U,5.0
West Side Story,2023.0,A,7.6
The Hot Chick,2023.0,U,5.6
August: Osage County,2023.0,A,7.2
Any Given Sunday,2023.0,A,6.9
Elizabeth,2023.0,R,7.4
Antares,2023.0,none,6.1
20 ans d'écart,2023.0,none,6.3
Braindead,2023.0,R,7.5
The Fate of the Furious,2023.0,UA,6.6
Lover Stalker Killer,2023.0,none,7.0
Papillon,2023.0,R,8.0
Dawn of the Dead,2023.0,A,7.8
The Rental,2023.0,A,5.7
Lucas,2023.0,U,6.9
Knowing,2023.0,UA,6.2
Thor: The Dark World,2023.0,UA,6.8
Run Hide Fight,2023.0,none,6.3
xXx,2023.0,UA,5.8
Repo Man,2023.0,none,6.9
Creed,2023.0,UA,7.6
King of New York,2023.0,A,6.9
Horrible Bosses,2023.0,A,6.9
Cliffhanger,2023.0,A,6.5
Boss Level,2023.0,none,6.8
Angel Heart,2023.0,A,7.2
Buffy the Vampire Slayer,2023.0,UA,5.7
The Young Victoria,2023.0,PG,7.2
Good Time,2023.0,A,7.3
Brawl in Cell Block 99,2023.0,18,7.1
The Feeling That the Time for Doing Something Has Passed,2023.0,none,6.3
Teen Wolf: The Movie,2023.0,15+,5.5
Woody Woodpecker,2023.0,PG,4.2
Glengarry Glen Ross,2023.0,R,7.7
Supervixens,2023.0,none,5.9
Spirit: Stallion of the Cimarron,2023.0,U,7.2
Predator 2,2023.0,R,6.3
Champions,2023.0,PG-13,6.8
Bade Miyan Chote Miyan,2023.0,none,5.0
Take Shelter,2023.0,R,7.3
King Kong,2023.0,U,6.0
Lucky Number Slevin,2023.0,R,7.7
Shortbus,2023.0,none,6.4
Ran,2023.0,Not Rated,8.2
Stillwater,2023.0,R,6.6
Cheaper by the Dozen,2023.0,U,5.9
Underworld: Evolution,2023.0,A,6.7
John Tucker Must Die,2023.0,UA,5.7
Cube,2004.0,UA,7.1
Booksmart,2004.0,R,7.1
Epic Movie,2004.0,U,2.4
Machete,2004.0,R,6.6
Footloose,2004.0,U,5.8
Stuart Little,2004.0,U,6.0
Carlito's Way,2004.0,A,7.9
Return to Oz,2004.0,U,6.7
Ghost in the Shell,2004.0,U,6.3
Munich,2004.0,A,7.5
You Are So Not Invited to My Bat Mitzvah,2004.0,PG-13,6.0
Outlaw King,2004.0,18,6.9
Taylor Swift: The Eras Tour,2004.0,PG-13,8.1
Pacific Rim Uprising,2004.0,UA,5.6
The Time Machine,2004.0,U,6.0
Sing Street,2004.0,PG-13,7.9
Twin Peaks: Fire Walk with Me,2004.0,Not Rated,7.3
Get Smart,2004.0,UA,6.5
The Rocketeer,2004.0,U,6.6
Sleepaway Camp,2004.0,A,6.2
The Bourne Legacy,2004.0,UA,6.6
JFK,2004.0,UA,8.0
Rebecca,2004.0,none,8.1
The Iron Giant,2004.0,U,8.1
The Other Woman,2004.0,A,6.0
Hell House LLC,2004.0,none,6.4
Jumper,2004.0,UA,6.1
Criminal,2004.0,UA,6.3
Richard Jewell,2004.0,A,7.5
Rushmore,2004.0,UA,7.6
AVPR: Aliens vs Predator - Requiem,2004.0,R,4.6
White Coats,2004.0,R,5.4
Miracle,2004.0,U,7.4
The Mother,2004.0,12+,5.6
Zack and Miri Make a Porno,2004.0,A,6.5
Monsters vs. Aliens,2004.0,U,6.4
Murder Mystery,2004.0,12,6.0
Butcher's Crossing,2004.0,R,5.6
Airport 1975,2004.0,U,5.7
Serbuan maut,2004.0,A,7.6
The Boss Baby,2004.0,U,6.3
Christine,2004.0,UA,6.8
The SpongeBob SquarePants Movie,2004.0,U,7.2
Rat Race,2004.0,PG-13,6.5
The Apartment,2004.0,U,8.3
Austin Powers: The Spy Who Shagged Me,2004.0,UA,6.7
The Crush,2004.0,A,5.8
Fanboys,2004.0,PG-13,6.5
Street Fighter,2003.0,U,4.1
The Wrestler,2003.0,UA,7.9
The Shift,2003.0,PG-13,5.6
Taken 2,2003.0,A,6.2
Haute tension,2003.0,A,6.7
Step Up,2003.0,U,6.5
Raising Arizona,2003.0,U,7.3
Shakespeare in Love,2003.0,UA,7.1
Life of Brian,2003.0,none,8.0
I.S.S.,2003.0,R,5.3
Ever After,2003.0,U,7.1
After Ever Happy,2003.0,A,4.7
Drop Dead Gorgeous,2003.0,PG-13,6.7
The Contractor,2003.0,A,5.8
