Title,Year,Certificate,Rating
Mars Express,2006.0,none,7.5
Wicked Little Letters,2006.0,R,7.0
Deadpool 2,2006.0,R,7.6
Sixteen Candles,2006.0,U,7.0
Article 370,2006.0,none,8.0
Past Lives,2006.0,UA,7.9
Animal,2006.0,A,6.2
Inglourious Basterds,2006.0,A,8.4
Star Wars: Episode III - Revenge of the Sith,2006.0,U,7.6
Star Wars: Episode VI - Return of the Jedi,2006.0,U,8.3
Ricky Stanicky,2006.0,R,6.2
Star Wars: Episode V - The Empire Strikes Back,2006.0,UA,8.7
Idiocracy,2006.0,R,6.5
Pearl,2006.0,R,7.0
Gisaengchung,2006.0,A,8.5
John Wick: Chapter 4,2006.0,A,7.7
The Image of You,2006.0,R,4.2
Split,2006.0,UA,7.3
Founders Day,2006.0,R,4.3
Napoleon,2006.0,R,6.4
Everything Everywhere All at Once,2006.0,A,7.8
Van Helsing,2006.0,UA,6.1
The Lord of the Rings: The Two Towers,2006.0,UA,8.8
The Silence of the Lambs,2006.0,A,8.6
Midsommar,2006.0,A,7.1
Spider-Man: Across the Spider-Verse,2006.0,U,8.6
Aquaman and the Lost Kingdom,2006.0,PG-13,5.6
Triangle of Sadness,1995.0,A,7.3
Rogue One,1995.0,UA,7.8
American Beauty,1995.0,UA,8.3
Star Wars: Episode VII - The Force Awakens,1995.0,U,7.8
Glass,1995.0,UA,6.6
La chimera,1995.0,none,7.3
Good Will Hunting,1995.0,U,8.3
Fifty Shades of Grey,1995.0,(Banned),4.2
Lisa Frankenstein,1995.0,PG-13,6.1
Bob Marley: One Love,1995.0,PG-13,6.3
The Long Game,1995.0,PG,6.7
10 Things I Hate About You,1995.0,U,7.3
The Goonies,1995.0,U,7.7
The Voyeurs,1995.0,A,6.1
Jurassic World Dominion,1995.0,UA,5.6
The Dead Don't Die,1995.0,18,5.5
Joker,1995.0,A,8.4
Se7en,1995.0,A,8.6
Spider-Man: No Way Home,1995.0,UA,8.2
The Outsiders,1995.0,U,7.0
Promising Young Woman,1995.0,A,7.5
