movie_id,actor_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,9
39,38
40,39
41,10
42,40
43,41
44,42
45,43
46,44
47,45
48,46
49,47
50,48
51,8
52,49
53,50
54,51
55,52
56,53
57,54
58,55
59,56
60,44
61,57
62,32
63,58
64,59
65,60
66,61
67,62
68,63
69,64
70,65
71,45
72,66
73,67
74,52
75,68
76,69
77,70
78,71
79,72
80,73
81,74
82,75
83,76
84,77
85,78
86,79
87,80
88,52
89,81
90,82
91,83
92,10
93,84
94,71
95,85
96,86
97,52
98,87
99,88
100,89
101,90
102,91
103,92
104,93
105,94
106,85
107,76
108,90
109,95
110,96
111,97
112,98
113,99
114,100
115,101
116,102
117,103
118,104
119,105
120,106
121,107
122,108
123,109
124,110
125,111
126,52
127,112
128,82
129,113
130,27
131,114
132,115
133,116
134,117
135,118
136,119
137,98
138,120
139,121
140,122
141,123
142,124
143,125
144,126
145,127
146,27
147,106
148,128
149,129
150,130
151,131
152,78
153,132
154,133
155,78
156,134
157,135
158,119
159,136
160,137
161,138
162,139
163,27
164,109
165,66
166,34
167,66
168,140
169,58
170,141
171,142
172,143
173,144
174,145
175,146
176,147
177,148
178,76
179,149
180,150
181,151
182,152
183,153
184,154
185,155
186,131
187,144
188,156
189,157
190,63
191,158
192,159
193,160
194,161
195,162
196,8
197,43
198,93
199,146
200,163
201,164
202,165
203,166
204,167
205,168
206,124
207,169
208,170
209,121
210,171
211,172
212,173
213,174
214,175
215,142
216,176
217,177
218,106
219,178
220,179
221,180
222,181
223,182
224,90
225,52
226,183
227,184
228,185
229,186
230,187
231,155
232,188
233,189
234,190
235,78
236,191
237,101
238,124
239,192
240,193
241,4
242,194
243,157
244,131
245,195
246,196
247,43
248,197
249,198
250,135
251,199
252,200
253,201
254,202
255,203
256,85
257,204
258,205
259,206
260,1
261,207
262,208
263,209
264,210
265,211
266,212
267,27
268,213
269,136
270,148
271,142
272,214
273,31
274,215
275,26
276,216
277,217
278,218
279,219
280,36
281,107
282,87
283,220
284,87
285,221
286,205
287,222
288,223
289,224
290,10
291,225
292,226
293,227
294,80
295,228
296,61
297,229
298,148
299,230
300,231
301,232
302,233
303,234
304,235
305,236
306,71
307,155
308,237
309,238
310,239
311,37
312,4
313,240
314,241
315,242
316,243
317,32
318,244
319,16
320,217
321,245
322,148
323,216
324,246
325,87
326,247
327,248
328,249
329,250
330,175
331,251
332,200
333,119
334,252
335,72
336,1
337,37
338,253
339,254
340,255
341,256
342,257
343,150
344,38
345,258
346,259
347,260
348,261
349,262
350,263
351,52
352,264
353,265
354,266
355,267
356,268
357,193
358,269
359,270
360,271
361,272
362,273
363,274
364,115
365,275
366,276
367,277
368,278
369,279
370,52
371,280
372,281
373,78
374,282
375,283
376,284
377,1
378,285
379,286
380,287
381,288
382,289
383,36
384,51
385,101
386,115
387,33
388,290
389,178
390,291
391,292
392,293
393,175
394,294
395,295
396,52
397,296
398,297
399,298
400,299
401,242
402,300
403,71
404,71
405,301
406,82
407,302
408,114
409,303
410,304
411,305
412,10
413,306
414,123
415,307
416,308
417,309
418,310
419,311
420,177
421,90
422,252
423,312
424,313
425,37
426,314
427,315
428,43
429,178
430,310
431,316
432,317
433,144
434,87
435,36
436,87
437,318
438,319
439,101
440,206
441,4
442,320
443,321
444,322
445,323
446,1
447,289
448,238
449,254
450,324
451,325
452,326
453,177
454,89
455,87
456,327
457,328
458,329
459,224
460,330
461,331
462,148
463,332
464,333
465,334
466,307
467,335
468,336
469,320
470,242
471,90
472,337
473,338
474,339
475,167
476,298
477,37
478,340
479,341
480,82
481,196
482,342
483,343
484,344
485,345
486,196
487,346
488,347
489,348
490,349
491,11
492,350
493,351
494,352
495,36
496,172
497,353
498,354
499,355
500,356
501,176
502,89
503,357
504,358
505,225
506,211
507,359
508,106
509,360
510,93
511,224
512,361
513,32
514,362
515,157
516,363
517,364
518,283
519,365
520,123
521,366
522,367
523,11
524,6
525,368
526,15
527,369
528,148
529,370
530,371
531,144
532,372
533,373
534,39
535,374
536,375
537,376
538,377
539,240
540,378
541,379
542,380
543,7
544,381
545,382
546,118
547,291
548,383
549,89
550,384
551,52
552,283
553,52
554,102
555,385
556,386
557,387
558,388
559,15
560,389
561,390
562,289
563,346
